,@device,@rdgType,value,type,captured_at
66,Workshop,HUMIDITY,42.0,LIGHT+ENV,2021-09-09 12:16:01
67,Workshop,PRESSURE,100628.72656,LIGHT+ENV,2021-09-09 12:16:01
68,Workshop,LUX,1104.0,LIGHT+ENV,2021-09-09 12:16:01
69,Workshop,LUX,1096.0,LIGHT+ENV,2021-09-09 12:18:00
70,Workshop,TEMPERATURE,24.77,LIGHT+ENV,2021-09-09 12:18:00
71,Workshop,PRESSURE,100629.21875,LIGHT+ENV,2021-09-09 12:18:00
72,Workshop,HUMIDITY,40.19,LIGHT+ENV,2021-09-09 12:18:00
73,Workshop,LUX,1069.0,LIGHT+ENV,2021-09-09 12:19:04
74,Workshop,TEMPERATURE,24.58,LIGHT+ENV,2021-09-09 12:19:04
75,Workshop,HUMIDITY,40.61,LIGHT+ENV,2021-09-09 12:19:04
76,Workshop,PRESSURE,100631.28125,LIGHT+ENV,2021-09-09 12:19:04
80,Workshop,PRESSURE,100632.04688,LIGHT+ENV,2021-09-09 12:21:02
79,Workshop,HUMIDITY,45.88,LIGHT+ENV,2021-09-09 12:21:02
78,Workshop,TEMPERATURE,24.66,LIGHT+ENV,2021-09-09 12:21:02
77,Workshop,LUX,1874.0,LIGHT+ENV,2021-09-09 12:21:02
81,Workshop,LUX,1778.0,LIGHT+ENV,2021-09-09 12:23:00
82,Workshop,PRESSURE,100631.5625,LIGHT+ENV,2021-09-09 12:23:00
83,Workshop,TEMPERATURE,24.96,LIGHT+ENV,2021-09-09 12:23:00
84,Workshop,HUMIDITY,49.63,LIGHT+ENV,2021-09-09 12:23:00
85,Workshop,PRESSURE,100630.63281,LIGHT+ENV,2021-09-09 12:24:05
86,Workshop,HUMIDITY,62.76,LIGHT+ENV,2021-09-09 12:24:05
87,Workshop,LUX,1815.0,LIGHT+ENV,2021-09-09 12:24:05
88,Workshop,TEMPERATURE,25.25,LIGHT+ENV,2021-09-09 12:24:05
89,Workshop,HUMIDITY,52.6,LIGHT+ENV,2021-09-09 12:26:03
90,Workshop,LUX,1826.0,LIGHT+ENV,2021-09-09 12:26:03
91,Workshop,TEMPERATURE,25.48,LIGHT+ENV,2021-09-09 12:26:03
92,Workshop,PRESSURE,100628.09375,LIGHT+ENV,2021-09-09 12:26:03
96,Workshop,PRESSURE,100621.9375,LIGHT+ENV,2021-09-09 12:28:01
94,Workshop,LUX,1870.0,LIGHT+ENV,2021-09-09 12:28:01
93,Workshop,HUMIDITY,49.32,LIGHT+ENV,2021-09-09 12:28:01
95,Workshop,TEMPERATURE,25.72,LIGHT+ENV,2021-09-09 12:28:01
97,Workshop,HUMIDITY,50.28,LIGHT+ENV,2021-09-09 12:30:00
98,Workshop,PRESSURE,100616.95313,LIGHT+ENV,2021-09-09 12:30:00
99,Workshop,LUX,1901.0,LIGHT+ENV,2021-09-09 12:30:00
100,Workshop,TEMPERATURE,25.94,LIGHT+ENV,2021-09-09 12:30:00
101,Workshop,PRESSURE,100618.11719,LIGHT+ENV,2021-09-09 12:31:04
102,Workshop,HUMIDITY,44.13,LIGHT+ENV,2021-09-09 12:31:04
103,Workshop,LUX,1935.0,LIGHT+ENV,2021-09-09 12:31:04
104,Workshop,TEMPERATURE,26.0,LIGHT+ENV,2021-09-09 12:31:04
108,Workshop,LUX,1939.0,LIGHT+ENV,2021-09-09 12:33:03
105,Workshop,TEMPERATURE,25.86,LIGHT+ENV,2021-09-09 12:33:03
106,Workshop,HUMIDITY,41.1,LIGHT+ENV,2021-09-09 12:33:03
107,Workshop,PRESSURE,100615.40625,LIGHT+ENV,2021-09-09 12:33:03
112,Workshop,HUMIDITY,38.46,LIGHT+ENV,2021-09-09 12:35:01
111,Workshop,PRESSURE,100615.90625,LIGHT+ENV,2021-09-09 12:35:01
110,Workshop,LUX,1905.0,LIGHT+ENV,2021-09-09 12:35:01
109,Workshop,TEMPERATURE,25.73,LIGHT+ENV,2021-09-09 12:35:01
113,Workshop,LUX,1997.0,LIGHT+ENV,2021-09-09 12:37:00
114,Workshop,HUMIDITY,36.99,LIGHT+ENV,2021-09-09 12:37:00
115,Workshop,TEMPERATURE,25.75,LIGHT+ENV,2021-09-09 12:37:00
116,Workshop,PRESSURE,100615.5,LIGHT+ENV,2021-09-09 12:37:00
120,Workshop,TEMPERATURE,25.83,LIGHT+ENV,2021-09-09 12:38:04
117,Workshop,HUMIDITY,35.91,LIGHT+ENV,2021-09-09 12:38:04
118,Workshop,PRESSURE,100617.84375,LIGHT+ENV,2021-09-09 12:38:04
119,Workshop,LUX,2432.0,LIGHT+ENV,2021-09-09 12:38:04
122,Workshop,LUX,2597.0,LIGHT+ENV,2021-09-09 12:40:02
123,Workshop,PRESSURE,100619.72656,LIGHT+ENV,2021-09-09 12:40:02
121,Workshop,TEMPERATURE,26.01,LIGHT+ENV,2021-09-09 12:40:02
124,Workshop,HUMIDITY,39.04,LIGHT+ENV,2021-09-09 12:40:02
128,Workshop,TEMPERATURE,26.15,LIGHT+ENV,2021-09-09 12:42:01
127,Workshop,PRESSURE,100613.1875,LIGHT+ENV,2021-09-09 12:42:01
126,Workshop,HUMIDITY,38.89,LIGHT+ENV,2021-09-09 12:42:01
125,Workshop,LUX,2469.0,LIGHT+ENV,2021-09-09 12:42:01
129,Workshop,PRESSURE,100620.65625,LIGHT+ENV,2021-09-09 12:43:05
