,@device,@rdgType,value,type,captured_at
70,Window,HUMIDITY,63.19,LIGHT+ENV,2021-09-02 11:31:04
71,Window,PRESSURE,100427.0,LIGHT+ENV,2021-09-02 11:31:04
74,Window,HUMIDITY,63.01,LIGHT+ENV,2021-09-02 11:33:02
75,Window,LUX,5728.0,LIGHT+ENV,2021-09-02 11:33:02
73,Window,PRESSURE,100427.0,LIGHT+ENV,2021-09-02 11:33:02
72,Window,TEMPERATURE,22.17,LIGHT+ENV,2021-09-02 11:33:02
76,Window,LUX,4873.0,LIGHT+ENV,2021-09-02 11:35:00
77,Window,HUMIDITY,63.13,LIGHT+ENV,2021-09-02 11:35:00
78,Window,TEMPERATURE,22.32,LIGHT+ENV,2021-09-02 11:35:00
79,Window,PRESSURE,100426.0,LIGHT+ENV,2021-09-02 11:35:00
83,Window,PRESSURE,100423.0,LIGHT+ENV,2021-09-02 11:36:04
80,Window,TEMPERATURE,22.45,LIGHT+ENV,2021-09-02 11:36:04
81,Window,HUMIDITY,62.97,LIGHT+ENV,2021-09-02 11:36:04
82,Window,LUX,3888.0,LIGHT+ENV,2021-09-02 11:36:04
84,Window,LUX,3179.0,LIGHT+ENV,2021-09-02 11:38:03
85,Window,TEMPERATURE,22.58,LIGHT+ENV,2021-09-02 11:38:03
86,Window,PRESSURE,100422.0,LIGHT+ENV,2021-09-02 11:38:03
87,Window,HUMIDITY,62.95,LIGHT+ENV,2021-09-02 11:38:03
90,Window,LUX,3680.0,LIGHT+ENV,2021-09-02 11:40:01
91,Window,TEMPERATURE,22.7,LIGHT+ENV,2021-09-02 11:40:01
88,Window,PRESSURE,100422.0,LIGHT+ENV,2021-09-02 11:40:01
89,Window,HUMIDITY,62.79,LIGHT+ENV,2021-09-02 11:40:01
94,Window,LUX,4873.0,LIGHT+ENV,2021-09-02 11:41:05
95,Window,HUMIDITY,62.82,LIGHT+ENV,2021-09-02 11:41:05
92,Window,PRESSURE,100424.0,LIGHT+ENV,2021-09-02 11:41:05
93,Window,TEMPERATURE,22.8,LIGHT+ENV,2021-09-02 11:41:05
99,Window,LUX,6406.0,LIGHT+ENV,2021-09-02 11:43:03
98,Window,TEMPERATURE,22.66,LIGHT+ENV,2021-09-02 11:43:03
97,Window,HUMIDITY,60.52,LIGHT+ENV,2021-09-02 11:43:03
96,Window,PRESSURE,100430.0,LIGHT+ENV,2021-09-02 11:43:03
100,Window,PRESSURE,100434.0,LIGHT+ENV,2021-09-02 11:45:02
101,Window,LUX,6414.0,LIGHT+ENV,2021-09-02 11:45:02
102,Window,TEMPERATURE,22.33,LIGHT+ENV,2021-09-02 11:45:02
103,Window,HUMIDITY,61.19,LIGHT+ENV,2021-09-02 11:45:02
104,Window,TEMPERATURE,21.94,LIGHT+ENV,2021-09-02 11:47:00
105,Window,HUMIDITY,61.63,LIGHT+ENV,2021-09-02 11:47:00
106,Window,LUX,5580.0,LIGHT+ENV,2021-09-02 11:47:00
107,Window,PRESSURE,100436.0,LIGHT+ENV,2021-09-02 11:47:00
111,Window,TEMPERATURE,21.57,LIGHT+ENV,2021-09-02 11:48:04
110,Window,LUX,3850.0,LIGHT+ENV,2021-09-02 11:48:04
109,Window,HUMIDITY,61.79,LIGHT+ENV,2021-09-02 11:48:04
108,Window,PRESSURE,100441.0,LIGHT+ENV,2021-09-02 11:48:04
112,Window,HUMIDITY,63.68,LIGHT+ENV,2021-09-02 11:50:03
113,Window,TEMPERATURE,21.27,LIGHT+ENV,2021-09-02 11:50:03
114,Window,LUX,6993.0,LIGHT+ENV,2021-09-02 11:50:03
115,Window,PRESSURE,100443.0,LIGHT+ENV,2021-09-02 11:50:03
116,Window,PRESSURE,100447.0,LIGHT+ENV,2021-09-02 11:52:01
117,Window,LUX,4914.0,LIGHT+ENV,2021-09-02 11:52:01
118,Window,HUMIDITY,63.23,LIGHT+ENV,2021-09-02 11:52:01
119,Window,TEMPERATURE,21.24,LIGHT+ENV,2021-09-02 11:52:01
123,Window,TEMPERATURE,21.35,LIGHT+ENV,2021-09-02 11:53:05
122,Window,PRESSURE,100448.0,LIGHT+ENV,2021-09-02 11:53:05
121,Window,HUMIDITY,61.99,LIGHT+ENV,2021-09-02 11:53:05
120,Window,LUX,5401.0,LIGHT+ENV,2021-09-02 11:53:05
124,Window,LUX,6345.0,LIGHT+ENV,2021-09-02 11:55:03
125,Window,HUMIDITY,62.49,LIGHT+ENV,2021-09-02 11:55:03
126,Window,TEMPERATURE,21.53,LIGHT+ENV,2021-09-02 11:55:03
127,Window,PRESSURE,100451.0,LIGHT+ENV,2021-09-02 11:55:03
128,Window,HUMIDITY,61.15,LIGHT+ENV,2021-09-02 11:57:02
129,Window,TEMPERATURE,21.74,LIGHT+ENV,2021-09-02 11:57:02
130,Window,PRESSURE,100454.0,LIGHT+ENV,2021-09-02 11:57:02
131,Window,LUX,6361.0,LIGHT+ENV,2021-09-02 11:57:02
135,Window,HUMIDITY,60.82,LIGHT+ENV,2021-09-02 11:59:01
134,Window,PRESSURE,100458.0,LIGHT+ENV,2021-09-02 11:59:01
133,Window,TEMPERATURE,21.95,LIGHT+ENV,2021-09-02 11:59:01
132,Window,LUX,7620.0,LIGHT+ENV,2021-09-02 11:59:01
136,Window,PRESSURE,100461.0,LIGHT+ENV,2021-09-02 12:00:05
137,Window,HUMIDITY,60.75,LIGHT+ENV,2021-09-02 12:00:05
138,Window,LUX,7720.0,LIGHT+ENV,2021-09-02 12:00:05
139,Window,TEMPERATURE,22.14,LIGHT+ENV,2021-09-02 12:00:05
140,Window,HUMIDITY,61.82,LIGHT+ENV,2021-09-02 12:02:03
141,Window,PRESSURE,100465.0,LIGHT+ENV,2021-09-02 12:02:03
142,Window,TEMPERATURE,22.33,LIGHT+ENV,2021-09-02 12:02:03
